akshara,codepoints,level,visual_key,glyph_count_noto,renderable,fused_noto,fused_mn,fused_sangam,main_glyph,mod_parts,nexts,parts_nfd,reading,wiki_freq,in_454
ජ්‍යෑ,U+0DA2 U+0DCA U+200D U+0DBA U+0DD1,L8_zwj_conj_dv,32-128-68,3,True,False,False,False,ජ,SINHALA VOWEL SIGN DIGA AEDA-PILLA@RIGHT,ය,SINHALA LETTER ALPAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN DIGA AEDA-PILLA,ja-yǣ,0,False
ජ්‍යි,U+0DA2 U+0DCA U+200D U+0DBA U+0DD2,L8_zwj_conj_dv,32-309,2,True,False,False,False,ජ,SINHALA VOWEL SIGN KETTI IS-PILLA@ABOVE,ය,SINHALA LETTER ALPAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN KETTI IS-PILLA,ja-yi,0,False
ජ්‍යී,U+0DA2 U+0DCA U+200D U+0DBA U+0DD3,L8_zwj_conj_dv,32-371,2,True,False,False,False,ජ,SINHALA VOWEL SIGN DIGA IS-PILLA@ABOVE,ය,SINHALA LETTER ALPAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN DIGA IS-PILLA,ja-yī,0,False
ජ්‍යූ,U+0DA2 U+0DCA U+200D U+0DBA U+0DD6,L8_zwj_conj_dv,32-532,2,True,False,False,False,ජ,u_下垂(ū)@BELOW,ය,SINHALA LETTER ALPAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN DIGA PAA-PILLA,ja-yū,0,False
ජ්‍යෘ,U+0DA2 U+0DCA U+200D U+0DBA U+0DD8,L8_zwj_conj_dv,32-128-73,3,True,False,False,False,ජ,SINHALA VOWEL SIGN GAETTA-PILLA@POST,ය,SINHALA LETTER ALPAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN GAETTA-PILLA,ja-ya+U+0DD8,0,False
ජ්‍යෛ,U+0DA2 U+0DCA U+200D U+0DBA U+0DDB,L8_zwj_conj_dv,76-32-128,3,True,False,False,False,ජ,SINHALA VOWEL SIGN KOMBU DEKA@POST,ය,SINHALA LETTER ALPAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN KOMBU DEKA,ja-ya+U+0DDB,0,False
ජ්‍යෞ,U+0DA2 U+0DCA U+200D U+0DBA U+0DDE,L8_zwj_conj_dv,74-32-128-80,4,True,False,False,False,ජ,SINHALA VOWEL SIGN KOMBUVA@PRE + SINHALA VOWEL SIGN GAYANUKITTA@POST,ය,SINHALA LETTER ALPAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN KOMBUVA + SINHALA VOWEL SIGN GAYANUKITTA,ja-yau,0,False
ජ්‍යෟ,U+0DA2 U+0DCA U+200D U+0DBA U+0DDF,L8_zwj_conj_dv,32-128-80,3,True,False,False,False,ජ,SINHALA VOWEL SIGN GAYANUKITTA@POST,ය,SINHALA LETTER ALPAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA VOWEL SIGN GAYANUKITTA,ja-ya+U+0DDF,0,False
ජ්‍ය්,U+0DA2 U+0DCA U+200D U+0DBA U+0DCA,L8_zwj_conj_dv,32-240,2,True,False,False,False,ජ,hal@TOP,ය,SINHALA LETTER ALPAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER YAYANNA + SINHALA SIGN AL-LAKUNA,ja-y,0,False
ඣ්‍රා,U+0DA3 U+0DCA U+200D U+0DBB U+0DCF,L8_zwj_conj_dv,33-142-66,3,True,False,False,False,ඣ,SINHALA VOWEL SIGN AELA-PILLA@RIGHT,ර,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN AELA-PILLA,jha-rā,0,False
ඣ්‍රැ,U+0DA3 U+0DCA U+200D U+0DBB U+0DD0,L8_zwj_conj_dv,33-142-67,3,True,False,False,False,ඣ,SINHALA VOWEL SIGN KETTI AEDA-PILLA@RIGHT,ර,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN KETTI AEDA-PILLA,jha-ræ,0,False
ඣ්‍රෑ,U+0DA3 U+0DCA U+200D U+0DBB U+0DD1,L8_zwj_conj_dv,33-142-68,3,True,False,False,False,ඣ,SINHALA VOWEL SIGN DIGA AEDA-PILLA@RIGHT,ර,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN DIGA AEDA-PILLA,jha-rǣ,0,False
ඣ්‍රි,U+0DA3 U+0DCA U+200D U+0DBB U+0DD2,L8_zwj_conj_dv,257-142,2,True,False,True,True,ඣ,SINHALA VOWEL SIGN KETTI IS-PILLA@ABOVE,ර,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN KETTI IS-PILLA,jha-ri,0,False
ඣ්‍රී,U+0DA3 U+0DCA U+200D U+0DBB U+0DD3,L8_zwj_conj_dv,319-142,2,True,False,True,True,ඣ,SINHALA VOWEL SIGN DIGA IS-PILLA@ABOVE,ර,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN DIGA IS-PILLA,jha-rī,0,False
ඣ්‍රු,U+0DA3 U+0DCA U+200D U+0DBB U+0DD4,L8_zwj_conj_dv,33-142-131,3,True,False,False,False,ඣ,u_下垂(u)@BELOW,ර,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN KETTI PAA-PILLA,jha-ru,0,False
ඣ්‍රූ,U+0DA3 U+0DCA U+200D U+0DBB U+0DD6,L8_zwj_conj_dv,33-142-132,3,True,False,False,False,ඣ,u_下垂(ū)@BELOW,ර,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN DIGA PAA-PILLA,jha-rū,0,False
ඣ්‍රෘ,U+0DA3 U+0DCA U+200D U+0DBB U+0DD8,L8_zwj_conj_dv,33-142-73,3,True,False,False,False,ඣ,SINHALA VOWEL SIGN GAETTA-PILLA@POST,ර,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN GAETTA-PILLA,jha-ra+U+0DD8,0,False
ඣ්‍රෙ,U+0DA3 U+0DCA U+200D U+0DBB U+0DD9,L8_zwj_conj_dv,74-33-142,3,True,False,False,False,ඣ,SINHALA VOWEL SIGN KOMBUVA@PRE,ර,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN KOMBUVA,jha-re,0,False
ඣ්‍රේ,U+0DA3 U+0DCA U+200D U+0DBB U+0DDA,L8_zwj_conj_dv,74-195-142,3,True,False,False,False,ඣ,SINHALA VOWEL SIGN KOMBUVA@PRE + SINHALA SIGN AL-LAKUNA@POST,ර,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN KOMBUVA + SINHALA SIGN AL-LAKUNA,jha-rē,0,False
ඣ්‍රෛ,U+0DA3 U+0DCA U+200D U+0DBB U+0DDB,L8_zwj_conj_dv,76-33-142,3,True,False,False,False,ඣ,SINHALA VOWEL SIGN KOMBU DEKA@POST,ර,SINHALA LETTER MAHAAPRAANA JAYANNA + SINHALA SIGN AL-LAKUNA + ZERO WIDTH JOINER + SINHALA LETTER RAYANNA + SINHALA VOWEL SIGN KOMBU DEKA,jha-ra+U+0DDB,0,False
