akshara,codepoints,freq
"ඤ්ඤ්","U+0DA4 U+0DCA U+0DA4 U+0DCA",2
"ට‍පා","U+0DA7 U+200D U+0DB4 U+0DCF",2
"ළ‍ා","U+0DC5 U+200D U+0DCF",2
"ද්ක්වා","U+0DAF U+0DCA U+0D9A U+0DCA U+0DC0 U+0DCF",2
"රැැ","U+0DBB U+0DD0 U+0DD0",2
"ප්ර්ශ්ණ","U+0DB4 U+0DCA U+0DBB U+0DCA U+0DC1 U+0DCA U+0DAB",2
"ප්ර‍කා","U+0DB4 U+0DCA U+0DBB U+200D U+0D9A U+0DCF",2
"ල්ල‍ට","U+0DBD U+0DCA U+0DBD U+200D U+0DA7",2
"ෆ්ප","U+0DC6 U+0DCA U+0DB4",2
"න්ක්ස්වි","U+0DB1 U+0DCA U+0D9A U+0DCA U+0DC3 U+0DCA U+0DC0 U+0DD2",2
"ප්ර්චා","U+0DB4 U+0DCA U+0DBB U+0DCA U+0DA0 U+0DCF",2
"ට්හෙ","U+0DA7 U+0DCA U+0DC4 U+0DD9",2
"න්විි","U+0DB1 U+0DCA U+0DC0 U+0DD2 U+0DD2",2
"පි‍රි","U+0DB4 U+0DD2 U+200D U+0DBB U+0DD2",2
"ඹං","U+0DB9 U+0D82",2
"ත්රි්","U+0DAD U+0DCA U+0DBB U+0DD2 U+0DCA",2
"ස්බ්‍රි","U+0DC3 U+0DCA U+0DB6 U+0DCA U+200D U+0DBB U+0DD2",2
"ර්ට්ෆො","U+0DBB U+0DCA U+0DA7 U+0DCA U+0DC6 U+0DDC",2
"න්ච්ලේ","U+0DB1 U+0DCA U+0DA0 U+0DCA U+0DBD U+0DDA",2
"ර්න්ච","U+0DBB U+0DCA U+0DB1 U+0DCA U+0DA0",2
"හි‍දේ","U+0DC4 U+0DD2 U+200D U+0DAF U+0DDA",2
"ච්නො","U+0DA0 U+0DCA U+0DB1 U+0DDC",2
"න්ට්ර","U+0DB1 U+0DCA U+0DA7 U+0DCA U+0DBB",2
"ශ්‍ලේ","U+0DC1 U+0DCA U+200D U+0DBD U+0DDA",2
"ව්ෂේ","U+0DC0 U+0DCA U+0DC2 U+0DDA",2
"‍ලා","U+200D U+0DBD U+0DCF",2
"ස්ක්ලො","U+0DC3 U+0DCA U+0D9A U+0DCA U+0DBD U+0DDC",2
"ර්ඩූ","U+0DBB U+0DCA U+0DA9 U+0DD6",2
"ර්ම්ස්ට්‍රෝ","U+0DBB U+0DCA U+0DB8 U+0DCA U+0DC3 U+0DCA U+0DA7 U+0DCA U+200D U+0DBB U+0DDD",2
"ල්ඩ්‍රී","U+0DBD U+0DCA U+0DA9 U+0DCA U+200D U+0DBB U+0DD3",2
"බැ‍ලේ","U+0DB6 U+0DD0 U+200D U+0DBD U+0DDA",2
"ධ්ය්යේ","U+0DB0 U+0DCA U+0DBA U+0DCA U+0DBA U+0DDA",2
"නා්ම","U+0DB1 U+0DCF U+0DCA U+0DB8",2
"ඛ්නි","U+0D9B U+0DCA U+0DB1 U+0DD2",2
"නෝ‍ම","U+0DB1 U+0DDD U+200D U+0DB8",2
"ශ්වෑ","U+0DC1 U+0DCA U+0DC0 U+0DD1",2
"අ‍භි","U+0D85 U+200D U+0DB7 U+0DD2",2
"ට්ට‍ම්","U+0DA7 U+0DCA U+0DA7 U+200D U+0DB8 U+0DCA",2
"ල්ල්න්","U+0DBD U+0DCA U+0DBD U+0DCA U+0DB1 U+0DCA",2
"ප්‍ු","U+0DB4 U+0DCA U+200D U+0DD4",2
"ල්නිං","U+0DBD U+0DCA U+0DB1 U+0DD2 U+0D82",2
"ම්ක්ර","U+0DB8 U+0DCA U+0D9A U+0DCA U+0DBB",2
"ච්තා","U+0DA0 U+0DCA U+0DAD U+0DCF",2
"ල්ස්චැ","U+0DBD U+0DCA U+0DC3 U+0DCA U+0DA0 U+0DD0",2
"ද්ස්ථා","U+0DAF U+0DCA U+0DC3 U+0DCA U+0DAE U+0DCF",2
"ශ්රාෙ","U+0DC1 U+0DCA U+0DBB U+0DCF U+0DD9",2
"දා‍ග","U+0DAF U+0DCF U+200D U+0D9C",2
"ව්යී","U+0DC0 U+0DCA U+0DBA U+0DD3",2
"ර්ක්හෙ","U+0DBB U+0DCA U+0D9A U+0DCA U+0DC4 U+0DD9",2
"ල්ෆෑ","U+0DBD U+0DCA U+0DC6 U+0DD1",2
"ද‍ී","U+0DAF U+200D U+0DD3",2
"න්ඞ්නේ","U+0DB1 U+0DCA U+0D9E U+0DCA U+0DB1 U+0DDA",2
"ළි‍ෙ","U+0DC5 U+0DD2 U+200D U+0DD9",2
"පා‍රි","U+0DB4 U+0DCF U+200D U+0DBB U+0DD2",2
"මා‍ඕ","U+0DB8 U+0DCF U+200D U+0D95",2
"බ‍ගේ","U+0DB6 U+200D U+0D9C U+0DDA",2
"ක්ෂ්යේ","U+0D9A U+0DCA U+0DC2 U+0DCA U+0DBA U+0DDA",2
"ට්‍ටි","U+0DA7 U+0DCA U+200D U+0DA7 U+0DD2",2
"ප්රාි","U+0DB4 U+0DCA U+0DBB U+0DCF U+0DD2",2
"ම්ප්ර‍දා","U+0DB8 U+0DCA U+0DB4 U+0DCA U+0DBB U+200D U+0DAF U+0DCF",2
"ද්ය‍","U+0DAF U+0DCA U+0DBA U+200D",2
"රා‍ලෝ","U+0DBB U+0DCF U+200D U+0DBD U+0DDD",2
"ඕ‍සො","U+0D95 U+200D U+0DC3 U+0DDC",2
"ට්ෂෝ","U+0DA7 U+0DCA U+0DC2 U+0DDD",2
"ච‍ක","U+0DA0 U+200D U+0D9A",2
"ස්ම්ත්ගේ","U+0DC3 U+0DCA U+0DB8 U+0DCA U+0DAD U+0DCA U+0D9C U+0DDA",2
"ම්ල්ට","U+0DB8 U+0DCA U+0DBD U+0DCA U+0DA7",2
"‍ෆ‍්ලෝ","U+200D U+0DC6 U+200D U+0DCA U+0DBD U+0DDD",2
"ල්ෆ්ය","U+0DBD U+0DCA U+0DC6 U+0DCA U+0DBA",2
"න්ධෲ","U+0DB1 U+0DCA U+0DB0 U+0DF2",2
"ර්න්ෂ්","U+0DBB U+0DCA U+0DB1 U+0DCA U+0DC2 U+0DCA",2
"බ්ල්යි","U+0DB6 U+0DCA U+0DBD U+0DCA U+0DBA U+0DD2",2
"ම්මා‍න","U+0DB8 U+0DCA U+0DB8 U+0DCF U+200D U+0DB1",2
"තො‍්ම","U+0DAD U+0DDC U+200D U+0DCA U+0DB8",2
"ණ්හු","U+0DAB U+0DCA U+0DC4 U+0DD4",2
"සුා","U+0DC3 U+0DD4 U+0DCF",2
"ග්ල්ලා","U+0D9C U+0DCA U+0DBD U+0DCA U+0DBD U+0DCF",2
"ශ්ඝෝ","U+0DC1 U+0DCA U+0D9D U+0DDD",2
"‍ප්‍රා","U+200D U+0DB4 U+0DCA U+200D U+0DBB U+0DCF",2
"මෙ‍න","U+0DB8 U+0DD9 U+200D U+0DB1",2
"ල්ක්මෙ","U+0DBD U+0DCA U+0D9A U+0DCA U+0DB8 U+0DD9",2
"‍‍දෝ","U+200D U+200D U+0DAF U+0DDD",2
"ප‍ව","U+0DB4 U+200D U+0DC0",2
"ස්ත්රෙ","U+0DC3 U+0DCA U+0DAD U+0DCA U+0DBB U+0DD9",2
"ල්ඛ්‍ය","U+0DBD U+0DCA U+0D9B U+0DCA U+200D U+0DBA",2
"ක්ලිං","U+0D9A U+0DCA U+0DBD U+0DD2 U+0D82",2
"ර‍ස්","U+0DBB U+200D U+0DC3 U+0DCA",2
"ර්ම‍ා","U+0DBB U+0DCA U+0DB8 U+200D U+0DCF",2
"ල‍කෙ","U+0DBD U+200D U+0D9A U+0DD9",2
"ල්ප්ගේ","U+0DBD U+0DCA U+0DB4 U+0DCA U+0D9C U+0DDA",2
"ප්පෘ","U+0DB4 U+0DCA U+0DB4 U+0DD8",2
"ට්ස්චෙ","U+0DA7 U+0DCA U+0DC3 U+0DCA U+0DA0 U+0DD9",2
"ර්න්ජෙ","U+0DBB U+0DCA U+0DB1 U+0DCA U+0DA2 U+0DD9",2
"ෆ්වු","U+0DC6 U+0DCA U+0DC0 U+0DD4",2
"ට්ෂ්ල","U+0DA7 U+0DCA U+0DC2 U+0DCA U+0DBD",2
"වෙ‍‍‍‍‍‍‍‍‍ළ","U+0DC0 U+0DD9 U+200D U+200D U+200D U+200D U+200D U+200D U+200D U+200D U+200D U+0DC5",2
"ග්‍රෝං","U+0D9C U+0DCA U+200D U+0DBB U+0DDD U+0D82",2
"ක‍බො","U+0D9A U+200D U+0DB6 U+0DDC",2
"‍ඛා","U+200D U+0D9B U+0DCF",2
"ප‍්‍රැ","U+0DB4 U+200D U+0DCA U+200D U+0DBB U+0DD0",2
"රැ්","U+0DBB U+0DD0 U+0DCA",2
"ව‍හො","U+0DC0 U+200D U+0DC4 U+0DDC",2
"ඇැ","U+0D87 U+0DD0",2
"ත්ම්ක","U+0DAD U+0DCA U+0DB8 U+0DCA U+0D9A",2
"ද්‍යා‍ඥ","U+0DAF U+0DCA U+200D U+0DBA U+0DCF U+200D U+0DA5",2
"ී්ක","U+0DD3 U+0DCA U+0D9A",2
"න්‍ම","U+0DB1 U+0DCA U+200D U+0DB8",2
"ල්ට‍්‍රා","U+0DBD U+0DCA U+0DA7 U+200D U+0DCA U+200D U+0DBB U+0DCF",2
"ටෙ‍ක්ටෝ","U+0DA7 U+0DD9 U+200D U+0D9A U+0DCA U+0DA7 U+0DDD",2
"සා්න","U+0DC3 U+0DCF U+0DCA U+0DB1",2
"ක‍්ට්‍රෝ","U+0D9A U+200D U+0DCA U+0DA7 U+0DCA U+200D U+0DBB U+0DDD",2
"න්ස්ක්‍ර","U+0DB1 U+0DCA U+0DC3 U+0DCA U+0D9A U+0DCA U+200D U+0DBB",2
"ම්‍මූ","U+0DB8 U+0DCA U+200D U+0DB8 U+0DD6",2
"ඩ්‍ම","U+0DA9 U+0DCA U+200D U+0DB8",2
"ම්‍නී","U+0DB8 U+0DCA U+200D U+0DB1 U+0DD3",2
"ම්‍වී","U+0DB8 U+0DCA U+200D U+0DC0 U+0DD3",2
"ම්‍හේ","U+0DB8 U+0DCA U+200D U+0DC4 U+0DDA",2
"ම්‍අ","U+0DB8 U+0DCA U+200D U+0D85",2
"ව්‍කි","U+0DC0 U+0DCA U+200D U+0D9A U+0DD2",2
"ම්‍නැ","U+0DB8 U+0DCA U+200D U+0DB1 U+0DD0",2
"ල්ඩ්‍ස","U+0DBD U+0DCA U+0DA9 U+0DCA U+200D U+0DC3",2
"ම්‍ව්‍යා","U+0DB8 U+0DCA U+200D U+0DC0 U+0DCA U+200D U+0DBA U+0DCF",2
"ම්‍ඇ","U+0DB8 U+0DCA U+200D U+0D87",2
"ම්‍සැ","U+0DB8 U+0DCA U+200D U+0DC3 U+0DD0",2
"ම්‍ඔ","U+0DB8 U+0DCA U+200D U+0D94",2
"භෛෟ","U+0DB7 U+0DDB U+0DDF",2
"චා‍ර","U+0DA0 U+0DCF U+200D U+0DBB",2
"ට්ශ්","U+0DA7 U+0DCA U+0DC1 U+0DCA",2
"න්ඩි‍ෂ්","U+0DB1 U+0DCA U+0DA9 U+0DD2 U+200D U+0DC2 U+0DCA",2
"න්ස්යු","U+0DB1 U+0DCA U+0DC3 U+0DCA U+0DBA U+0DD4",2
"ර්ණෙ","U+0DBB U+0DCA U+0DAB U+0DD9",2
"ර්ඩ්ප්‍රෙ","U+0DBB U+0DCA U+0DA9 U+0DCA U+0DB4 U+0DCA U+200D U+0DBB U+0DD9",2
"ඩ්‍ෆ්ල","U+0DA9 U+0DCA U+200D U+0DC6 U+0DCA U+0DBD",2
"ස්ව්වි","U+0DC3 U+0DCA U+0DC0 U+0DCA U+0DC0 U+0DD2",2
"ර්‍ය්තු","U+0DBB U+0DCA U+200D U+0DBA U+0DCA U+0DAD U+0DD4",2
"ඩ්න්ව","U+0DA9 U+0DCA U+0DB1 U+0DCA U+0DC0",2
"ර්ඟ","U+0DBB U+0DCA U+0D9F",2
"සෙ‍යා","U+0DC3 U+0DD9 U+200D U+0DBA U+0DCF",2
"ග්ඝං","U+0D9C U+0DCA U+0D9D U+0D82",2
"ඳ්ය්‍යු","U+0DB3 U+0DCA U+0DBA U+0DCA U+200D U+0DBA U+0DD4",2
"ව්ර්‍ත","U+0DC0 U+0DCA U+0DBB U+0DCA U+200D U+0DAD",2
"ර්ත්මා","U+0DBB U+0DCA U+0DAD U+0DCA U+0DB8 U+0DCF",2
"ධ්ම","U+0DB0 U+0DCA U+0DB8",2
"ල්ඩ්ස්ගේ","U+0DBD U+0DCA U+0DA9 U+0DCA U+0DC3 U+0DCA U+0D9C U+0DDA",2
"ධ‍ය්‍යා","U+0DB0 U+200D U+0DBA U+0DCA U+200D U+0DBA U+0DCF",2
"ධ‍ය්‍ය","U+0DB0 U+200D U+0DBA U+0DCA U+200D U+0DBA",2
"ම්ප්‍ර‍දා","U+0DB8 U+0DCA U+0DB4 U+0DCA U+200D U+0DBB U+200D U+0DAF U+0DCF",2
"න්නේ‍","U+0DB1 U+0DCA U+0DB1 U+0DDA U+200D",2
"ර්විං","U+0DBB U+0DCA U+0DC0 U+0DD2 U+0D82",2
"ඩ්ග්‍රේ","U+0DA9 U+0DCA U+0D9C U+0DCA U+200D U+0DBB U+0DDA",2
"ඒ්ක","U+0D92 U+0DCA U+0D9A",2
"න්ක්‍යා","U+0DB1 U+0DCA U+0D9A U+0DCA U+200D U+0DBA U+0DCF",2
"ර්ස්න","U+0DBB U+0DCA U+0DC3 U+0DCA U+0DB1",2
"ර්‍ල","U+0DBB U+0DCA U+200D U+0DBD",2
"රො‍ත්තු","U+0DBB U+0DDC U+200D U+0DAD U+0DCA U+0DAD U+0DD4",2
"ස්‍ට්‍රේ","U+0DC3 U+0DCA U+200D U+0DA7 U+0DCA U+200D U+0DBB U+0DDA",2
"ස‍්කො","U+0DC3 U+200D U+0DCA U+0D9A U+0DDC",2
"ක්ට්ස","U+0D9A U+0DCA U+0DA7 U+0DCA U+0DC3",2
"ෆෝ‍ගේ","U+0DC6 U+0DDD U+200D U+0D9C U+0DDA",2
"හ‍න","U+0DC4 U+200D U+0DB1",2
"ත්රාං","U+0DAD U+0DCA U+0DBB U+0DCF U+0D82",2
"පා‍ටි","U+0DB4 U+0DCF U+200D U+0DA7 U+0DD2",2
"ල්ක්‍රෝ","U+0DBD U+0DCA U+0D9A U+0DCA U+200D U+0DBB U+0DDD",2
"හි‍ෙ","U+0DC4 U+0DD2 U+200D U+0DD9",2
"ට‍ට","U+0DA7 U+200D U+0DA7",2
"ල්ත්ම","U+0DBD U+0DCA U+0DAD U+0DCA U+0DB8",2
"න්න‍න්ට","U+0DB1 U+0DCA U+0DB1 U+200D U+0DB1 U+0DCA U+0DA7",2
"ඩ්ගි","U+0DA9 U+0DCA U+0D9C U+0DD2",2
"ලුු","U+0DBD U+0DD4 U+0DD4",2
"න්වේ‍","U+0DB1 U+0DCA U+0DC0 U+0DDA U+200D",2
"ර්ව්‍ය","U+0DBB U+0DCA U+0DC0 U+0DCA U+200D U+0DBA",2
"ච්ග්‍රා","U+0DA0 U+0DCA U+0D9C U+0DCA U+200D U+0DBB U+0DCF",2
"ළ‍මෙ","U+0DC5 U+200D U+0DB8 U+0DD9",2
"ර්න්මෙ","U+0DBB U+0DCA U+0DB1 U+0DCA U+0DB8 U+0DD9",2
"ත්‍ක","U+0DAD U+0DCA U+200D U+0D9A",2
"ල්ට්වෙ","U+0DBD U+0DCA U+0DA7 U+0DCA U+0DC0 U+0DD9",2
"කි‍ලෝ","U+0D9A U+0DD2 U+200D U+0DBD U+0DDD",2
"දෙ‍්ශ","U+0DAF U+0DD9 U+200D U+0DCA U+0DC1",2
"වැ‍ට","U+0DC0 U+0DD0 U+200D U+0DA7",2
"ඛ්‍ය්‍ය","U+0D9B U+0DCA U+200D U+0DBA U+0DCA U+200D U+0DBA",2
"ම්ග්‍රේ","U+0DB8 U+0DCA U+0D9C U+0DCA U+200D U+0DBB U+0DDA",2
"ල‍සො","U+0DBD U+200D U+0DC3 U+0DDC",2
"ග්ලැං","U+0D9C U+0DCA U+0DBD U+0DD0 U+0D82",2
"භා‍ග","U+0DB7 U+0DCF U+200D U+0D9C",2
"න්ර්ස","U+0DB1 U+0DCA U+0DBB U+0DCA U+0DC3",2
"න්ස්නි","U+0DB1 U+0DCA U+0DC3 U+0DCA U+0DB1 U+0DD2",2
"බ්ප","U+0DB6 U+0DCA U+0DB4",2
"ද්අ","U+0DAF U+0DCA U+0D85",2
"න්ජ්කූ","U+0DB1 U+0DCA U+0DA2 U+0DCA U+0D9A U+0DD6",2
"ෂ්ර්","U+0DC2 U+0DCA U+0DBB U+0DCA",2
"ක‍්‍රෑ","U+0D9A U+200D U+0DCA U+200D U+0DBB U+0DD1",2
"න්හූ","U+0DB1 U+0DCA U+0DC4 U+0DD6",2
"ර්රූ","U+0DBB U+0DCA U+0DBB U+0DD6",2
"ව්කූ","U+0DC0 U+0DCA U+0D9A U+0DD6",2
"ජ්රී","U+0DA2 U+0DCA U+0DBB U+0DD3",2
"නෙ‍න","U+0DB1 U+0DD9 U+200D U+0DB1",2
"ග්ටෙ","U+0D9C U+0DCA U+0DA7 U+0DD9",2
"භ්‍රි","U+0DB7 U+0DCA U+200D U+0DBB U+0DD2",2
"ල‍පේ","U+0DBD U+200D U+0DB4 U+0DDA",2
"න්ච්ම","U+0DB1 U+0DCA U+0DA0 U+0DCA U+0DB8",2
"ක්ෂ්‍මී","U+0D9A U+0DCA U+0DC2 U+0DCA U+200D U+0DB8 U+0DD3",2
"ෂ්‍යෝ","U+0DC2 U+0DCA U+200D U+0DBA U+0DDD",2
"ඪෞ","U+0DAA U+0DDE",2
"ට‍පැ","U+0DA7 U+200D U+0DB4 U+0DD0",2
"න්ග්‍ය","U+0DB1 U+0DCA U+0D9C U+0DCA U+200D U+0DBA",2
"ග්ටූ","U+0D9C U+0DCA U+0DA7 U+0DD6",2
"ව‍කා","U+0DC0 U+200D U+0D9A U+0DCF",2
"ට‍පෙ","U+0DA7 U+200D U+0DB4 U+0DD9",2
"‍ෙ‍සා","U+200D U+0DD9 U+200D U+0DC3 U+0DCF",2
"ම්භ‍ය","U+0DB8 U+0DCA U+0DB7 U+200D U+0DBA",2
"‍ධෛ","U+200D U+0DB0 U+0DDB",2
"හ‍ු","U+0DC4 U+200D U+0DD4",2
"න්‍වෙ","U+0DB1 U+0DCA U+200D U+0DC0 U+0DD9",2
"න්ගෑ","U+0DB1 U+0DCA U+0D9C U+0DD1",2
"ස‍්ත","U+0DC3 U+200D U+0DCA U+0DAD",2
"ක්ඩ්ස්","U+0D9A U+0DCA U+0DA9 U+0DCA U+0DC3 U+0DCA",2
"න්ච්ෂ්ඔ","U+0DB1 U+0DCA U+0DA0 U+0DCA U+0DC2 U+0DCA U+0D94",2
"ව්‍ය‍ය","U+0DC0 U+0DCA U+200D U+0DBA U+200D U+0DBA",2
"ක්න්ධ","U+0D9A U+0DCA U+0DB1 U+0DCA U+0DB0",2
"ඨ්ටා","U+0DA8 U+0DCA U+0DA7 U+0DCF",2
"ම්ල‍ෙ","U+0DB8 U+0DCA U+0DBD U+200D U+0DD9",2
"ඤ්ජෙ","U+0DA4 U+0DCA U+0DA2 U+0DD9",2
"‍ද්‍ර","U+200D U+0DAF U+0DCA U+200D U+0DBB",2
"ර‍ටා","U+0DBB U+200D U+0DA7 U+0DCF",2
"‍නු","U+200D U+0DB1 U+0DD4",2
"ත්‍තා","U+0DAD U+0DCA U+200D U+0DAD U+0DCF",2
"හිෙ","U+0DC4 U+0DD2 U+0DD9",2
"න්ක්ටැ","U+0DB1 U+0DCA U+0D9A U+0DCA U+0DA7 U+0DD0",2
"ට‍වූ","U+0DA7 U+200D U+0DC0 U+0DD6",2
"ටි‍බෙ","U+0DA7 U+0DD2 U+200D U+0DB6 U+0DD9",2
"ව්ග්","U+0DC0 U+0DCA U+0D9C U+0DCA",2
"ව්ක්පෙ","U+0DC0 U+0DCA U+0D9A U+0DCA U+0DB4 U+0DD9",2
"න්‍ලෝ","U+0DB1 U+0DCA U+200D U+0DBD U+0DDD",2
"න්ශං","U+0DB1 U+0DCA U+0DC1 U+0D82",2
"උ‍ෙ","U+0D8B U+200D U+0DD9",2
"න්ඩ්හේ","U+0DB1 U+0DCA U+0DA9 U+0DCA U+0DC4 U+0DDA",2
"ර්ක්ඩි","U+0DBB U+0DCA U+0D9A U+0DCA U+0DA9 U+0DD2",2
"න්‍‍ට","U+0DB1 U+0DCA U+200D U+200D U+0DA7",2
"ඩු‍රා","U+0DA9 U+0DD4 U+200D U+0DBB U+0DCF",2
"ම්ට්ර්","U+0DB8 U+0DCA U+0DA7 U+0DCA U+0DBB U+0DCA",2
"ල්‍කී","U+0DBD U+0DCA U+200D U+0D9A U+0DD3",2
"තේ‍නි","U+0DAD U+0DDA U+200D U+0DB1 U+0DD2",2
"ට්ස්ගෘ","U+0DA7 U+0DCA U+0DC3 U+0DCA U+0D9C U+0DD8",2
"ද්ග‍ල","U+0DAF U+0DCA U+0D9C U+200D U+0DBD",2
"ල්කා‍ලී","U+0DBD U+0DCA U+0D9A U+0DCF U+200D U+0DBD U+0DD3",2
"ට‍ත","U+0DA7 U+200D U+0DAD",2
"ච්‍වි","U+0DA0 U+0DCA U+200D U+0DC0 U+0DD2",2
"ම්‍වි","U+0DB8 U+0DCA U+200D U+0DC0 U+0DD2",2
"ස‍්සේ","U+0DC3 U+200D U+0DCA U+0DC3 U+0DDA",2
"‍ඍ","U+200D U+0D8D",2
"ග‍ල","U+0D9C U+200D U+0DBD",2
"ද්ය්‍යා","U+0DAF U+0DCA U+0DBA U+0DCA U+200D U+0DBA U+0DCF",2
"මු‍ණ","U+0DB8 U+0DD4 U+200D U+0DAB",2
"න්ළු","U+0DB1 U+0DCA U+0DC5 U+0DD4",2
"වු‍බි","U+0DC0 U+0DD4 U+200D U+0DB6 U+0DD2",2
"ඪූ","U+0DAA U+0DD6",2
"ර්ස්න්","U+0DBB U+0DCA U+0DC3 U+0DCA U+0DB1 U+0DCA",2
"ඩ්ග්‍රා","U+0DA9 U+0DCA U+0D9C U+0DCA U+200D U+0DBB U+0DCF",2
"න්‍්‍ය","U+0DB1 U+0DCA U+200D U+0DCA U+200D U+0DBA",2
"ගෘෘ","U+0D9C U+0DD8 U+0DD8",2
"ප්ජ","U+0DB4 U+0DCA U+0DA2",2
"ව්‍්‍ය","U+0DC0 U+0DCA U+200D U+0DCA U+200D U+0DBA",2
"ර්ක්පැ","U+0DBB U+0DCA U+0D9A U+0DCA U+0DB4 U+0DD0",2
"වි්‍යු","U+0DC0 U+0DD2 U+0DCA U+200D U+0DBA U+0DD4",2
"වි්යු","U+0DC0 U+0DD2 U+0DCA U+0DBA U+0DD4",2
"ම්බෲ","U+0DB8 U+0DCA U+0DB6 U+0DF2",2
"ර්ට්‍රෑ","U+0DBB U+0DCA U+0DA7 U+0DCA U+200D U+0DBB U+0DD1",2
"ඔා","U+0D94 U+0DCF",2
"වැැ","U+0DC0 U+0DD0 U+0DD0",2
"ට්ම්ව","U+0DA7 U+0DCA U+0DB8 U+0DCA U+0DC0",2
"ත්්‍ය","U+0DAD U+0DCA U+0DCA U+200D U+0DBA",2
"න්ශ්","U+0DB1 U+0DCA U+0DC1 U+0DCA",2
"ෆ්නෝ","U+0DC6 U+0DCA U+0DB1 U+0DDD",2
"ද්ද්‍ර","U+0DAF U+0DCA U+0DAF U+0DCA U+200D U+0DBB",2
"න්න්ස්","U+0DB1 U+0DCA U+0DB1 U+0DCA U+0DC3 U+0DCA",2
"න්ඩ්ෆ","U+0DB1 U+0DCA U+0DA9 U+0DCA U+0DC6",2
"රො‍","U+0DBB U+0DDC U+200D",2
"ත්ි","U+0DAD U+0DCA U+0DD2",2
"රා්හ","U+0DBB U+0DCF U+0DCA U+0DC4",2
"ද්ළුී","U+0DAF U+0DCA U+0DC5 U+0DD4 U+0DD3",2
"ස්ඵො","U+0DC3 U+0DCA U+0DB5 U+0DDC",2
"අ‍ෙ","U+0D85 U+200D U+0DD9",2
"ක්ඒ","U+0D9A U+0DCA U+0D92",2
"හ‍ලේ","U+0DC4 U+200D U+0DBD U+0DDA",2
"ළී‍මෙ","U+0DC5 U+0DD3 U+200D U+0DB8 U+0DD9",2
"ති‍යෝ","U+0DAD U+0DD2 U+200D U+0DBA U+0DDD",2
"ර්පාං","U+0DBB U+0DCA U+0DB4 U+0DCF U+0D82",2
"ර්තූ","U+0DBB U+0DCA U+0DAD U+0DD6",2
"ශ්ච්‍ය","U+0DC1 U+0DCA U+0DA0 U+0DCA U+200D U+0DBA",2
"ට්න්වු","U+0DA7 U+0DCA U+0DB1 U+0DCA U+0DC0 U+0DD4",2
"ඵ්හා","U+0DB5 U+0DCA U+0DC4 U+0DCF",2
"න්ට්නා","U+0DB1 U+0DCA U+0DA7 U+0DCA U+0DB1 U+0DCF",2
"ඛ්යාා","U+0D9B U+0DCA U+0DBA U+0DCF U+0DCF",2
"ප්ර්බ","U+0DB4 U+0DCA U+0DBB U+0DCA U+0DB6",2
"රැ‍ගේ","U+0DBB U+0DD0 U+200D U+0D9C U+0DDA",2
"ක්රී්ම්","U+0D9A U+0DCA U+0DBB U+0DD3 U+0DCA U+0DB8 U+0DCA",2
"ම්ඛි","U+0DB8 U+0DCA U+0D9B U+0DD2",2
"නොෙ","U+0DB1 U+0DDC U+0DD9",2
"ත‍ම","U+0DAD U+200D U+0DB8",2
"කොා","U+0D9A U+0DDC U+0DCF",2
"නාා","U+0DB1 U+0DCF U+0DCF",2
"න්ජ්ම","U+0DB1 U+0DCA U+0DA2 U+0DCA U+0DB8",2
"ක්‍ෑ","U+0D9A U+0DCA U+200D U+0DD1",2
"ක්භා","U+0D9A U+0DCA U+0DB7 U+0DCF",2
"ඞ්ව්ම","U+0D9E U+0DCA U+0DC0 U+0DCA U+0DB8",2
"ස්ව්ම","U+0DC3 U+0DCA U+0DC0 U+0DCA U+0DB8",2
"ර්ථීි","U+0DBB U+0DCA U+0DAE U+0DD3 U+0DD2",2
"රීු","U+0DBB U+0DD3 U+0DD4",2
"න්ල්","U+0DB1 U+0DCA U+0DBD U+0DCA",2
"ව්යුෙ","U+0DC0 U+0DCA U+0DBA U+0DD4 U+0DD9",2
"ශ්යු","U+0DC1 U+0DCA U+0DBA U+0DD4",2
"ත්ය්න්ත","U+0DAD U+0DCA U+0DBA U+0DCA U+0DB1 U+0DCA U+0DAD",2
"ත්ය්ව","U+0DAD U+0DCA U+0DBA U+0DCA U+0DC0",2
"ද්ද්ය","U+0DAF U+0DCA U+0DAF U+0DCA U+0DBA",2
"බා්","U+0DB6 U+0DCF U+0DCA",2
"සුූ","U+0DC3 U+0DD4 U+0DD6",2
"ර්්","U+0DBB U+0DCA U+0DCA",2
"ිිැ","U+0DD2 U+0DD2 U+0DD0",2
"ද්බ","U+0DAF U+0DCA U+0DB6",2
"ට්යෝ","U+0DA7 U+0DCA U+0DBA U+0DDD",2
"ව්චා","U+0DC0 U+0DCA U+0DA0 U+0DCF",2
"න්ඳී","U+0DB1 U+0DCA U+0DB3 U+0DD3",2
"ඤ්චාං","U+0DA4 U+0DCA U+0DA0 U+0DCF U+0D82",2
"ඩ්මේ","U+0DA9 U+0DCA U+0DB8 U+0DDA",2
"පො‍ටේ","U+0DB4 U+0DDC U+200D U+0DA7 U+0DDA",2
"න්ද‍ජා","U+0DB1 U+0DCA U+0DAF U+200D U+0DA2 U+0DCF",2
"මෙ‍‍න්","U+0DB8 U+0DD9 U+200D U+200D U+0DB1 U+0DCA",2
"ජඃ","U+0DA2 U+0D83",2
"සිඃ","U+0DC3 U+0DD2 U+0D83",2
"න්සුඃ","U+0DB1 U+0DCA U+0DC3 U+0DD4 U+0D83",2
