akshara,codepoints,freq
"ර්ධ","U+0DBB U+0DCA U+0DB0",18717
"ගෝ","U+0D9C U+0DDD",18669
"පී","U+0DB4 U+0DD3",18514
"ස්ව","U+0DC3 U+0DCA U+0DC0",18469
"තෙ","U+0DAD U+0DD9",18388
"ර්ත","U+0DBB U+0DCA U+0DAD",18356
"කේ","U+0D9A U+0DDA",17791
"ණ්ඩ","U+0DAB U+0DCA U+0DA9",17650
"ජු","U+0DA2 U+0DD4",17615
"ම්භ","U+0DB8 U+0DCA U+0DB7",17564
"ත්තේ","U+0DAD U+0DCA U+0DAD U+0DDA",17304
"ර්ණ","U+0DBB U+0DCA U+0DAB",17030
"ව්‍ය","U+0DC0 U+0DCA U+200D U+0DBA",16367
"ෂා","U+0DC2 U+0DCF",16356
"කෝ","U+0D9A U+0DDD",16145
"ක්‍රී","U+0D9A U+0DCA U+200D U+0DBB U+0DD3",16094
"ශී","U+0DC1 U+0DD3",15851
"ථ","U+0DAE",15816
"මො","U+0DB8 U+0DDC",15777
"ඛ","U+0D9B",15668
"ව්","U+0DC0 U+0DCA",15603
"ඊ","U+0D8A",15438
"ණ්ඩා","U+0DAB U+0DCA U+0DA9 U+0DCF",15352
"ප්‍රා","U+0DB4 U+0DCA U+200D U+0DBB U+0DCF",15351
"ටී","U+0DA7 U+0DD3",15218
"ක්ස","U+0D9A U+0DCA U+0DC3",15166
"බී","U+0DB6 U+0DD3",15114
"දූ","U+0DAF U+0DD6",15085
"භ","U+0DB7",15082
"භූ","U+0DB7 U+0DD6",15044
"ස්ත","U+0DC3 U+0DCA U+0DAD",15026
"පූ","U+0DB4 U+0DD6",14869
"ර්ය","U+0DBB U+0DCA U+0DBA",14801
"ර්ශ","U+0DBB U+0DCA U+0DC1",14738
"ග්‍ර","U+0D9C U+0DCA U+200D U+0DBB",14524
"සිං","U+0DC3 U+0DD2 U+0D82",14233
"ප්‍රි","U+0DB4 U+0DCA U+200D U+0DBB U+0DD2",14120
"ද්ග","U+0DAF U+0DCA U+0D9C",14029
"ඩ්","U+0DA9 U+0DCA",13944
"ශ්‍ර","U+0DC1 U+0DCA U+200D U+0DBB",13928
"න්දු","U+0DB1 U+0DCA U+0DAF U+0DD4",13892
"ර්ම","U+0DBB U+0DCA U+0DB8",13723
